state,x,y
Acre,-181,71
Alagoas,221,68
Amapa,30,259
Amazonas,-116,152
Bahia,136,31
Ceara,178,174
Distrito Federal,72,-20
Espirito Santo,166,-87
Goias,40,-38
Maranhao,102,153
Mato Grosso,-16,23
Mato Grosso do Sul,-58,-88
Minas Gerais,107,-49
Para,7,151
Paraiba,238,110
Parana,25,-158
Pernambuco,236,87
Piaui,130,100
Rio de Janeiro,150,-130
Rio Grande do Norte,257,127
Rio Grande do Sul,1,-242
Rondonia,-115,44
Roraima,-87,260
Santa Catarina,53,-198
Sao Paulo,51,-124
Sergipe,208,46
Tocantins,62,64
